Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24
Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Often,2,"Commuting to school,To travel short distances/convenience,For leisure",Other,"Insufficient battery ,Unavailability",4: Acceptably safe,2: It’s fairly priced,"No, but I ride SPIN scooters",,,No,Yes,Female,18-25,No , < 1 mile,15213,"$150,000 and greater",Yes ,Walk 
No,Other,Yes,I have ridden one (or more) of these scooters.,Often,7,Commuting to school,Other,Payment issues,4: Acceptably safe,2: It’s fairly priced,"No, but I ride SPIN scooters",Yes,9,,,Male,18-25,No , < 1 mile,15213,"$25,000 to 49,999 ",Yes ,Walk 
Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Rarely,0,To travel short distances/convenience,I think scooters are too expensive,Insufficient battery ,3: Partially safe,4: It’s expensive,"No, but I ride SPIN scooters",,,Yes,Yes,Male,18-25,No , < 1 mile,15213,"$150,000 and greater",Yes ,Walk 
Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Sometimes,1,To travel short distances/convenience,I prefer taking the bus,Payment issues,4: Acceptably safe,4: It’s expensive,"No, but I ride SPIN scooters",Yes,9,,,Male,18-25,No ,2.1 - 5 miles,15217,"$50,000 to 74,999",Yes ,"Walk ,Public transportation"
Yes,University of Pittsburgh,Yes,I have ridden one (or more) of these scooters.,Rarely,1,Commuting to school,I prefer walking  ,"Payment issues,Insufficient battery ",3: Partially safe,4: It’s expensive,"No, but I ride SPIN scooters",,,Yes,No,Female,18-25,No , < 1 mile,15213,"$1 to $9,999",Yes ,Walk 
No,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Sometimes,1,Commuting to school,Other,"Payment issues,Insufficient battery ,Vague instructions ,Unavailability",3: Partially safe,4: It’s expensive,No,Yes,3,,,Female,18-25,No ,1.1 - 2 miles,15213,"$50,000 to 74,999",Yes ,"Walk ,Bike,Public transportation"
Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Often,4,To travel short distances/convenience,Other,"Insufficient battery ,Couldn't unlock the scooter ,Unavailability",5: Perfectly safe,4: It’s expensive,"No, but I ride SPIN scooters",,,Yes,Yes,Male,18-25,No , < 1 mile,60618,"$150,000 and greater",Yes ,Walk 
Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Very Frequently,3,Commuting to work,I prefer driving/being driven,Damaged scooter ,5: Perfectly safe,3: It’s slightly expensive,"No, but I ride SPIN scooters",,,No,No,Male,25-30,Yes,2.1 - 5 miles,15213,"$1 to $9,999",No ,Car
Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Often,3,"Commuting to school,To travel short distances/convenience",Other,"Payment issues,Insufficient battery ",1: Not very safe,4: It’s expensive,"No, but I ride SPIN scooters",Yes,9,,,Male,25-30,No ,1.1 - 2 miles,15217,"$50,000 to 74,999",Yes ,Public transportation
Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Very Frequently,2,Commuting to school,"I do not think scooters are safe ,I think scooters are too expensive","Damaged scooter ,Insufficient battery ",2: Minimally safe,5: It’s very expensive,"No, but I ride SPIN scooters",,,No,No,Female,18-25,No , < 1 mile,15213,"$10,000 to $24,999",Yes ,Walk 
Yes,Carnegie Mellon University,No,I have seen a person (or people) on an electric scooter in the street,Never,0,I don't use scooters,I prefer walking  ,Unavailability,3: Partially safe,3: It’s slightly expensive,No,Yes,1,,,Female,30-35,No , < 1 mile,15232,"$1 to $9,999",Yes ,Walk 
Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Often,1,For leisure,Other,"Payment issues,Insufficient battery ",4: Acceptably safe,3: It’s slightly expensive,"No, but I ride SPIN scooters",Yes,4,,,Male,18-25,No , < 1 mile,15289,"$150,000 and greater",Yes ,Walk 
Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Rarely,0,Commuting to school,I prefer driving/being driven,Unavailability,4: Acceptably safe,2: It’s fairly priced,No,,,No,No,Female,25-30,No ,1.1 - 2 miles,15213,"$50,000 to 74,999",Yes ,Car
No,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Often,1,To travel short distances/convenience,Other,Unavailability,4: Acceptably safe,3: It’s slightly expensive,No,Yes,5,,,Female,18-25,No , < 1 mile,15217,"$1 to $9,999",Yes ,"Walk ,Public transportation"
Yes,Carnegie Mellon University,Yes,I have seen a person (or people) on an electric scooter in the street,Never,0,I don't use scooters,I do not think scooters are safe ,Unavailability,3: Partially safe,3: It’s slightly expensive,No,Yes,1,,,Female,18-25,No , < 1 mile,15217,"$1 to $9,999",Yes ,Public transportation
Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Sometimes,1,To travel short distances/convenience,Other,Insufficient battery ,3: Partially safe,2: It’s fairly priced,"No, but I ride SPIN scooters",,,Yes,No,Male,18-25,No , < 1 mile,15213,"$50,000 to 74,999",Yes ,Walk 
Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Rarely,0,To travel short distances/convenience,Other,Unavailability,1: Not very safe,4: It’s expensive,No,No,0,,,Male,25-30,No ,2.1 - 5 miles,15222,"$75,000 to 99,999",Yes ,Car
Yes,Carnegie Mellon University,Yes,I have seen a person (or people) on an electric scooter in the street,Never,0,I don't use scooters,I prefer driving/being driven,Vague instructions ,1: Not very safe,,No,,,Yes,No,Female,25-30,No , < 1 mile,15232,"$150,000 and greater",Yes ,"Walk ,Car"
No,Carnegie Mellon University,Yes,I have not had any experiences with electric scooters,Never,0,I don't use scooters,"I prefer walking  ,I do not think scooters are safe ,I think scooters are too expensive",Payment issues,3: Partially safe,2: It’s fairly priced,No,,,No,Yes,Female,18-25,No , < 1 mile,52123,$0 ,Yes ,Walk 
Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Rarely,0,For leisure,"I prefer taking the bus,I prefer driving/being driven,I prefer walking  ","Damaged scooter ,Insufficient battery ,Unavailability",2: Minimally safe,3: It’s slightly expensive,No,,,No,No,Female,25-30,No ,2.1 - 5 miles,15233,"$75,000 to 99,999",Yes ,"Walk ,Bike,Car,Public transportation"
Yes,Carnegie Mellon University,Yes,I have not had any experiences with electric scooters,Never,0,I don't use scooters,"I just never got the chance to try it out, but I am inclined to soon",Unavailability,3: Partially safe,1: It’s cheap,Yes,Yes,0,,,Female,18-25,No , < 1 mile,52129,"$75,000 to 99,999",Yes ,Walk 
Yes,Carnegie Mellon University,Yes,I have seen a person (or people) on an electric scooter in the street,Never,0,I don't use scooters,I prefer taking the bus,Vague instructions ,4: Acceptably safe,2: It’s fairly priced,No,,,Yes,Yes,Male,18-25,No ,1.1 - 2 miles,15217,"$10,000 to $24,999",Yes ,Public transportation
Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Rarely,0,"To travel short distances/convenience,For leisure",Other,Vague instructions ,3: Partially safe,3: It’s slightly expensive,"No, but I ride SPIN scooters",Yes,2,,,Female,18-25,No ,1.1 - 2 miles,15217,"$25,000 to 49,999 ",Yes ,"Walk ,Public transportation"
Yes,Carnegie Mellon University,Yes,I have seen a person (or people) on an electric scooter in the street,Never,0,I don't use scooters,I prefer taking the bus,Payment issues,1: Not very safe,4: It’s expensive,No,Yes,1,,,Female,18-25,No ,1.1 - 2 miles,80401,"$25,000 to 49,999 ",Yes ,Public transportation
Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Rarely,0,For leisure,Other,Payment issues,4: Acceptably safe,2: It’s fairly priced,No,No,1,,,Male,18-25,No , < 1 mile,15213,Prefer not to answer,Yes ,Walk 
Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Often,3,To travel short distances/convenience,Other,"Damaged scooter ,Unavailability",4: Acceptably safe,3: It’s slightly expensive,"No, but I ride SPIN scooters",,,Yes,Yes,Male,18-25,No ,1.1 - 2 miles,15217,"$75,000 to 99,999",Yes ,"Walk ,Public transportation"
Yes,Carnegie Mellon University,Yes,I have not had any experiences with electric scooters,Never,0,I don't use scooters,I do not think scooters are safe ,Unavailability,1: Not very safe,4: It’s expensive,No,Yes,2,,,Male,18-25,No , < 1 mile,15213,"$10,000 to $24,999",Yes ,Walk 
Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Never,0,I don't use scooters,I think scooters are too expensive,Unavailability,4: Acceptably safe,4: It’s expensive,No,,,Yes,Yes,Male,18-25,No ,1.1 - 2 miles,15217,"$1 to $9,999",Yes ,Bike
Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Very Frequently,4,Commuting to school,Other,Insufficient battery ,3: Partially safe,3: It’s slightly expensive,"No, but I ride SPIN scooters",Yes,5,,,Male,18-25,No ,1.1 - 2 miles,15217,"$75,000 to 99,999",Yes ,Walk 
Yes,Carnegie Mellon University,Yes,I have seen a person (or people) on an electric scooter in the street,Never,0,I don't use scooters,I do not think scooters are safe ,Vague instructions ,2: Minimally safe,2: It’s fairly priced,Yes,,,No,No,Female,18-25,No , < 1 mile,15213,"$150,000 and greater",Yes ,"Walk ,Public transportation"
Yes,Carnegie Mellon University,Yes,I have not had any experiences with electric scooters,Never,0,I don't use scooters,"I prefer taking the bus,I prefer walking  ,I think scooters are too expensive",Unavailability,3: Partially safe,,No,,,No,Yes,Male,18-25,No , < 1 mile,15232,"$1 to $9,999",Yes ,"Walk ,Public transportation"
Yes,Carnegie Mellon University,Yes,I have seen a person (or people) on an electric scooter in the street,Never,0,I don't use scooters,I do not think scooters are safe ,Payment issues,2: Minimally safe,3: It’s slightly expensive,Yes,,,No,No,Female,18-25,No , < 1 mile,15213,Prefer not to answer,Yes ,"Walk ,Public transportation"
Yes,Carnegie Mellon University,Yes,I have not had any experiences with electric scooters,Never,0,I don't use scooters,I prefer taking the bus,Couldn't unlock the scooter ,2: Minimally safe,2: It’s fairly priced,No,No,0,,,Female,18-25,No ,1.1 - 2 miles,15217,"$50,000 to 74,999",Yes ,Public transportation
Yes,Carnegie Mellon University,Yes,I have seen a person (or people) on an electric scooter in the street,Never,0,I don't use scooters,"I prefer taking the bus,I think scooters are too expensive",Unavailability,4: Acceptably safe,3: It’s slightly expensive,No,Yes,9,,,Female,18-25,No , < 1 mile,15213,Prefer not to answer,Yes ,Walk 
Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Sometimes,0,To travel short distances/convenience,I do not think scooters are safe ,Insufficient battery ,2: Minimally safe,4: It’s expensive,No,,,No,No,Female,18-25,No , < 1 mile,15213,Prefer not to answer,Yes ,"Walk ,Public transportation"
Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Rarely,0,For leisure,I think scooters are too expensive,Payment issues,3: Partially safe,4: It’s expensive,"No, but I ride SPIN scooters",No,3,,,Female,18-25,No , < 1 mile,94568,$0 ,Yes ,Walk 
Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Rarely,0,I don't use scooters,I prefer walking  ,Unavailability,3: Partially safe,1: It’s cheap,No,,,No,Yes,Female,18-25,No , < 1 mile,94582,"$150,000 and greater",Yes ,Walk 
Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Rarely,0,"Commuting to school,For leisure",I do not think scooters are safe ,Insufficient battery ,1: Not very safe,4: It’s expensive,"No, but I ride SPIN scooters",Yes,2,,,Male,18-25,No , < 1 mile,12211,"$150,000 and greater",Yes ,Walk 
Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Often,2,To travel short distances/convenience,I prefer walking  ,"Insufficient battery ,Unavailability",3: Partially safe,3: It’s slightly expensive,"No, but I ride SPIN scooters",,,Yes,No,Female,18-25,No ,1.1 - 2 miles,15217,"$1 to $9,999",Yes ,Walk 
Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Rarely,0,To travel short distances/convenience,I think scooters are too expensive,"Insufficient battery ,Unavailability",3: Partially safe,4: It’s expensive,No,Yes,3,,,Female,18-25,No , < 1 mile,15213,Prefer not to answer,Yes ,"Walk ,Public transportation"
No,Carnegie Mellon University,Yes,I have seen a person (or people) on an electric scooter in the street,Never,0,I don't use scooters,"I do not think scooters are safe ,I just never got the chance to try it out, but I am inclined to soon",Vague instructions ,2: Minimally safe,4: It’s expensive,No,,,No,No,Female,18-25,No , < 1 mile,15213,"$150,000 and greater",Yes ,"Walk ,Public transportation"
Yes,Carnegie Mellon University,Yes,I have seen a person (or people) on an electric scooter in the street,Never,0,I don't use scooters,I think scooters are too expensive,Payment issues,3: Partially safe,4: It’s expensive,No,Yes,2,,,Female,18-25,No , < 1 mile,15213,Prefer not to answer,Yes ,Walk 
Yes,Carnegie Mellon University,Yes,I have not had any experiences with electric scooters,Never,0,I don't use scooters,I prefer taking the bus,Payment issues,4: Acceptably safe,3: It’s slightly expensive,No,Yes,7,,,Female,18-25,No ,1.1 - 2 miles,15217,"$1 to $9,999",Yes ,"Car,Public transportation"
Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Never,0,I don't use scooters,I prefer taking the bus,Unavailability,2: Minimally safe,3: It’s slightly expensive,No,Yes,2,,,Female,18-25,No ,1.1 - 2 miles,15232,Prefer not to answer,Yes ,Walk 
Yes,Carnegie Mellon University,Yes,I have seen a person (or people) on an electric scooter in the street,Rarely,0,To travel short distances/convenience,I think scooters are too expensive,Unavailability,3: Partially safe,3: It’s slightly expensive,"No, but I ride SPIN scooters",,,No,No,Female,18-25,No , < 1 mile,15217,Prefer not to answer,Yes ,Walk 
Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Often,2,To travel short distances/convenience,Other,"Insufficient battery ,Unavailability",3: Partially safe,4: It’s expensive,"No, but I ride SPIN scooters",,,Yes,No,Male,30-35,No ,2.1 - 5 miles,15206,"$10,000 to $24,999",Yes ,"Walk ,Bike,Car"
Yes,Carnegie Mellon University,Yes,I have not had any experiences with electric scooters,Never,0,I don't use scooters,Other,"Damaged scooter ,Insufficient battery ,Couldn't unlock the scooter ",1: Not very safe,4: It’s expensive,No,Yes,5,,,Choose not to respond,18-25,No , < 1 mile,15213,"$10,000 to $24,999",Yes ,Walk 
No,Carnegie Mellon University,Yes,I have seen a person (or people) on an electric scooter in the street,Never,0,I don't use scooters,I do not think scooters are safe ,Unavailability,1: Not very safe,4: It’s expensive,No,,,Yes,No,Female,18-25,No ,2.1 - 5 miles,15217,"$75,000 to 99,999",Yes ,"Walk ,Public transportation"
Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Often,1,"To travel short distances/convenience,For leisure",I think scooters are too expensive,"Payment issues,Damaged scooter ",4: Acceptably safe,5: It’s very expensive,"No, but I ride SPIN scooters",Yes,1,,,Female,18-25,No , < 1 mile,15213,"$150,000 and greater",Yes ,"Bike,Public transportation"
Yes,Carnegie Mellon University,Yes,I have seen a person (or people) on an electric scooter in the street,Never,0,I don't use scooters,Other,Vague instructions ,3: Partially safe,4: It’s expensive,No,,,Yes,Yes,Female,18-25,No , < 1 mile,15213,"$10,000 to $24,999",Yes ,Walk 
Yes,Carnegie Mellon University,Yes,I have not had any experiences with electric scooters,Never,0,I don't use scooters,I think scooters are too expensive,Unavailability,4: Acceptably safe,3: It’s slightly expensive,No,,,No,No,Female,18-25,No , < 1 mile,15289,$0 ,Yes ,Walk 
Yes,Carnegie Mellon University,No,I have not had any experiences with electric scooters,Never,0,I don't use scooters,"I prefer taking the bus,I prefer walking  ,I just never got the chance to try it out, but I am inclined to soon",Unavailability,3: Partially safe,2: It’s fairly priced,No,Yes,4,,,Male,18-25,No , < 1 mile,15289,$0 ,Yes ,Walk 
Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Rarely,0,"Commuting to school,To travel short distances/convenience",I think scooters are too expensive,Unavailability,3: Partially safe,3: It’s slightly expensive,No,Yes,3,,,Female,18-25,No , < 1 mile,15289,"$100,000 to 149,999",Yes ,Walk 
Yes,Carnegie Mellon University,No,I have not had any experiences with electric scooters,Never,0,I don't use scooters,"I prefer taking the bus,I prefer walking  ,I think scooters are too expensive",Vague instructions ,3: Partially safe,5: It’s very expensive,No,Yes,3,,,Female,18-25,No , < 1 mile,15289,Prefer not to answer,Yes ,"Walk ,Public transportation"
Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Never,0,I don't use scooters,Other,Unavailability,5: Perfectly safe,4: It’s expensive,"No, but I ride SPIN scooters",Yes,0,,,Male,18-25,No , < 1 mile,15213,"$75,000 to 99,999",Yes ,Walk 
Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Rarely,0,I don't use scooters,I prefer taking the bus,Unavailability,3: Partially safe,1: It’s cheap,No,,,No,Yes,Female,18-25,No , < 1 mile,15217,Prefer not to answer,Yes ,"Walk ,Public transportation"
Yes,Carnegie Mellon University,Yes,I have seen a person (or people) on an electric scooter in the street,Never,0,I don't use scooters,I prefer taking the bus,Vague instructions ,3: Partially safe,1: It’s cheap,No,,,No,Yes,Female,18-25,No , < 1 mile,15217,Prefer not to answer,Yes ,Walk 
Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Often,3,"To travel short distances/convenience,For leisure","I prefer taking the bus,I prefer walking  ,I think scooters are too expensive","Insufficient battery ,Unavailability",3: Partially safe,4: It’s expensive,No,,,Yes,Yes,Female,18-25,No , < 1 mile,15213,"$150,000 and greater",Yes ,"Walk ,Public transportation"
Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Rarely,1,"Commuting to school,For leisure",I think scooters are too expensive,Payment issues,4: Acceptably safe,4: It’s expensive,"No, but I ride SPIN scooters",Yes,9,,,Female,25-30,No , < 1 mile,15232,$0 ,Yes ,Public transportation
Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Sometimes,1,To travel short distances/convenience,I think scooters are too expensive,Unavailability,4: Acceptably safe,3: It’s slightly expensive,No,,,Yes,Yes,Male,18-25,No , < 1 mile,15217,"$25,000 to 49,999 ",Yes ,Walk 
Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Rarely,0,For leisure,I prefer taking the bus,"Payment issues,Damaged scooter ,Couldn't unlock the scooter ",3: Partially safe,2: It’s fairly priced,No,Yes,1,,,Female,18-25,Prefer not to answer,5.1 - 10 miles,15213,"$1 to $9,999",Yes ,Public transportation
Yes,Carnegie Mellon University,Yes,I have seen a person (or people) on an electric scooter in the street,Never,0,I don't use scooters,I prefer walking  ,Insufficient battery ,4: Acceptably safe,3: It’s slightly expensive,No,,,No,Yes,Male,18-25,No , < 1 mile,15213,"$1 to $9,999",Yes ,Walk 
Yes,Carnegie Mellon University,Yes,I have seen a person (or people) on an electric scooter in the street,Never,0,I don't use scooters,"I prefer taking the bus,I prefer walking  ,I think scooters are too expensive,I just never got the chance to try it out, but I am inclined to soon",Damaged scooter ,3: Partially safe,4: It’s expensive,No,,,No,No,Female,18-25,No , < 1 mile,15213,$0 ,Yes ,"Walk ,Public transportation"
Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Rarely,0,"Commuting to school,Commuting to work","I prefer taking the bus,I prefer driving/being driven",Insufficient battery ,2: Minimally safe,2: It’s fairly priced,Yes,No,1,,,Male,18-25,No ,2.1 - 5 miles,15208,"$50,000 to 74,999",Yes ,"Car,Public transportation"
Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Rarely,1,"To travel short distances/convenience,For leisure",I do not think scooters are safe ,Unavailability,2: Minimally safe,1: It’s cheap,"No, but I ride SPIN scooters",Yes,2,,,Female,18-25,No ,1.1 - 2 miles,15289,Prefer not to answer,Yes ,"Walk ,Public transportation"
No,Carnegie Mellon University,Yes,I have not had any experiences with electric scooters,Never,0,I don't use scooters,"I prefer taking the bus,I prefer walking  ,I think scooters are too expensive",Unavailability,3: Partially safe,4: It’s expensive,Yes,,,No,No,Female,18-25,No ,1.1 - 2 miles,15217,Prefer not to answer,Yes ,"Walk ,Public transportation"
Yes,Carnegie Mellon University,Yes,I have seen a person (or people) on an electric scooter in the street,Never,0,I don't use scooters,I do not think scooters are safe ,Vague instructions ,2: Minimally safe,3: It’s slightly expensive,No,,,No,No,Female,18-25,No ,1.1 - 2 miles,15213,"$100,000 to 149,999",Yes ,Walk 
Yes,Carnegie Mellon University,Yes,I have seen a person (or people) on an electric scooter in the street,Never,0,I don't use scooters,I do not think scooters are safe ,Vague instructions ,1: Not very safe,3: It’s slightly expensive,No,No,0,,,Male,30-35,No ,2.1 - 5 miles,15120,"$100,000 to 149,999",Yes ,Car
Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Sometimes,1,To travel short distances/convenience,Other,"Payment issues,Insufficient battery ",3: Partially safe,2: It’s fairly priced,"No, but I ride SPIN scooters",,,Yes,Yes,Male,25-30,No ,1.1 - 2 miles,15232,"$75,000 to 99,999",Yes ,"Walk ,Car"
